location_name,sex_name,cause_name,HALE_2015_30_70,Age_standardized_YLDs ,YLDs_proportion
Global,Male,Non-communicable diseases,24.9 ,10052.4 ,100
Global,Male,Neoplasms,24.9 ,123.6 ,1.2
Global,Male,Cardiovascular diseases,24.9 ,467.7 ,4.7
Global,Male,Chronic respiratory diseases,24.9 ,435.1 ,4.3
Global,Male,Diabetes mellitus,24.9 ,708.3 ,7
Global,Male,Four major NCDs,24.9 ,1734.6 ,17.3
China,Male,Non-communicable diseases,25.7 ,8920.2 ,100
China,Male,Neoplasms,25.7 ,135.0 ,1.5
China,Male,Cardiovascular diseases,25.7 ,545.8 ,6.1
China,Male,Chronic respiratory diseases,25.7 ,336.3 ,3.8
China,Male,Diabetes mellitus,25.7 ,586.3 ,6.6
China,Male,Four major NCDs,25.7 ,1603.4 ,18
Democratic People's Republic of Korea,Male,Non-communicable diseases,23.4 ,8910.3 ,100
Democratic People's Republic of Korea,Male,Neoplasms,23.4 ,91.2 ,1
Democratic People's Republic of Korea,Male,Cardiovascular diseases,23.4 ,671.2 ,7.5
Democratic People's Republic of Korea,Male,Chronic respiratory diseases,23.4 ,532.7 ,6
Democratic People's Republic of Korea,Male,Diabetes mellitus,23.4 ,543.4 ,6.1
Democratic People's Republic of Korea,Male,Four major NCDs,23.4 ,1838.5 ,20.6
Taiwan (Province of China),Male,Non-communicable diseases,27.7 ,9548.8 ,100
Taiwan (Province of China),Male,Neoplasms,27.7 ,221.1 ,2.3
Taiwan (Province of China),Male,Cardiovascular diseases,27.7 ,479.1 ,5
Taiwan (Province of China),Male,Chronic respiratory diseases,27.7 ,226.2 ,2.4
Taiwan (Province of China),Male,Diabetes mellitus,27.7 ,740.8 ,7.8
Taiwan (Province of China),Male,Four major NCDs,27.7 ,1667.1 ,17.5
Cambodia,Male,Non-communicable diseases,21.1 ,9731.1 ,100
Cambodia,Male,Neoplasms,21.1 ,63.8 ,0.7
Cambodia,Male,Cardiovascular diseases,21.1 ,545.5 ,5.6
Cambodia,Male,Chronic respiratory diseases,21.1 ,444.6 ,4.6
Cambodia,Male,Diabetes mellitus,21.1 ,635.8 ,6.5
Cambodia,Male,Four major NCDs,21.1 ,1689.7 ,17.4
Indonesia,Male,Non-communicable diseases,22.3 ,10108.7 ,100
Indonesia,Male,Neoplasms,22.3 ,51.2 ,0.5
Indonesia,Male,Cardiovascular diseases,22.3 ,771.4 ,7.6
Indonesia,Male,Chronic respiratory diseases,22.3 ,522.8 ,5.2
Indonesia,Male,Diabetes mellitus,22.3 ,560.2 ,5.5
Indonesia,Male,Four major NCDs,22.3 ,1905.6 ,18.9
Lao People's Democratic Republic,Male,Non-communicable diseases,21.7 ,9907.7 ,100
Lao People's Democratic Republic,Male,Neoplasms,21.7 ,49.8 ,0.5
Lao People's Democratic Republic,Male,Cardiovascular diseases,21.7 ,640.2 ,6.5
Lao People's Democratic Republic,Male,Chronic respiratory diseases,21.7 ,481.6 ,4.9
Lao People's Democratic Republic,Male,Diabetes mellitus,21.7 ,737.7 ,7.4
Lao People's Democratic Republic,Male,Four major NCDs,21.7 ,1909.3 ,19.3
