location_name,sex_name,cause_name,gain_HALE_1,gain_HALE_1_Q1,gain_HALE_1_Q3,gain_HALE_2,gain_HALE_2_Q1,gain_HALE_2_Q3,gain_HALE_3,gain_HALE_3_Q1,gain_HALE_3_Q3
Afghanistan,Male,Neoplasms,2.775,2.767,2.785,2.143,0.755,3.19,1.591,1.383,1.768
Afghanistan,Female,Neoplasms,3.121,3.111,3.135,2.358,1.045,3.462,1.681,1.426,1.886
Afghanistan,Both,Neoplasms,2.953,2.944,2.963,2.253,0.938,3.325,1.637,1.44,1.816
Afghanistan,Male,Cardiovascular diseases,5.154,5.097,5.214,2.829,1.415,3.897,0.951,0.465,1.466
Afghanistan,Female,Cardiovascular diseases,5.329,5.269,5.39,2.983,1.647,4.107,1.08,0.461,1.615
Afghanistan,Both,Cardiovascular diseases,5.241,5.184,5.299,2.907,1.568,3.999,1.017,0.496,1.522
Afghanistan,Male,Chronic respiratory diseases,2.253,2.232,2.276,1.952,0.571,2.992,1.756,1.667,1.829
Afghanistan,Female,Chronic respiratory diseases,2.489,2.451,2.527,2.11,0.808,3.205,1.906,1.791,1.99
Afghanistan,Both,Chronic respiratory diseases,2.376,2.347,2.404,2.033,0.726,3.097,1.833,1.753,1.9
Afghanistan,Male,Diabetes mellitus,2.26,2.159,2.388,1.89,0.511,2.929,1.807,1.753,1.842
Afghanistan,Female,Diabetes mellitus,2.719,2.596,2.879,2.123,0.82,3.218,1.894,1.721,2.02
Afghanistan,Both,Diabetes mellitus,2.506,2.394,2.649,2.012,0.706,3.076,1.849,1.746,1.925
Afghanistan,Male,Four major NCDs,7.119,6.908,7.369,3.272,1.842,4.354,0.493,-0.367,1.316
Afghanistan,Female,Four major NCDs,7.973,7.708,8.284,3.566,2.208,4.71,0.456,-0.746,1.438
Afghanistan,Both,Four major NCDs,7.567,7.333,7.841,3.425,2.067,4.534,0.472,-0.456,1.324
Albania,Male,Neoplasms,4.308,4.292,4.329,3.385,2.421,4.201,2.784,2.581,2.957
Albania,Female,Neoplasms,4.972,4.959,4.99,4.353,3.288,5.259,4.026,3.929,4.11
Albania,Both,Neoplasms,4.629,4.615,4.647,3.836,2.819,4.693,3.369,3.224,3.496
Albania,Male,Cardiovascular diseases,4.755,4.685,4.831,3.469,2.504,4.286,2.749,2.515,2.95
Albania,Female,Cardiovascular diseases,5.332,5.273,5.391,4.418,3.352,5.323,4.021,3.904,4.123
